keys,en,uk,ru,ja
GL_BACK,Return,Назад,Назад,戻る
GL_DIAG_NEXT,Next,Далі,Далее,次
MM_PRESS_TO_START,Press to start,"Натисніть, щоб розпочати","Нажмите, чтобы начать",おす始めろこと
MM_NEW_GAME,New game,Нова гра,Новая игра,新着ゲーム
MM_CONTINUE,Continue,Продовжити,Продолжить,継続する
MM_SETTINGS,Settings,Налагодження,Настройки,設定
MM_SWITCH_LANG,Switch language to: Russian,Змінити мову на: Англійська,Сменить язык на: Украинский,語お切り替える
MM_SLOT,Slot,Комірка,Ячейка,スロット
MM_SELECT_SLOT_NEWGAME,To which slot should savefile be written?,У котрій комірці створити новий файл?,В какой ячейке создать файл?,新着ゲームのスロットお選ぶ
MM_SELECT_SLOT_CONTGAME,Select your savefile,Виберіть свій файл,Выберите свой файл,既存ゲームのスロットお選ぶ
BAT_ATTACK,Attack,Вдарити,Атаковать,
BAT_ITEM,Inventory,Майно,Инвентарь,
BAT_INFO,Action,Дія,Действие,
BAT_FLEE,Flee,Втекти,Бегствие,
BAT_ONGAKU,Cast ongaku,Чаклувати онґаку,Наколдовать онгаку,音楽魔法
BAT_CHORD,Chord,Акорд,Аккорд,
BAT_POWERCHORD,Powerchord,Павер-акорд,Пауер-аккорд,
BAT_HOWTO_CHORD,Press button below or 1-7 to strike a chord,"Натисніть кнопку нижче, або клавіши 1-7, щоб грати акорд","Нажмите кнопку ниже, либо клавиши 1-7, чтобы сыграть аккорд",
BAT_TURNAROUND,Slide camera,Змістити камеру,Сместить камеру,
BAT_BLIZZARD,Blizzard,Мороз,Мороз,
BAT_HEAT,Heat,Спека,Жара,
BAT_TOXIC,Toxicity,Токсичність,Токсичность,
BAT_RAIN,Raining,Дощ,Дождь,
BAT_MERCILESS,No escape,Лише боротьба,Пощады нет,
BAT_TIER1,Powerful foe,Могутній ворог,Сильный враг,
BAT_TIER2,Boss,Босс,Босс,
BAT_BLIZZARDEXP,"Low temperatures provoked a snowfall. Your visibility is dampened, along with precision. If it's raining as well, you will have a chance to get self-damage from slipping and falling on ice every time you attack","Низька температура повітря причинило снігопад. Ви гірше бачите та гірше цілитесь. Якщо зараз йде дощ, ви будете мати ризик спричинення урону самому собі, позлизнувшися на льоду, кожен раз коли ви спробуєте атакувати.","Низкая температура воздуха спровоцировала снегопад. Вы хуже видите и целитесь. Если к тому же идёт и дождь, у вас будет шанс подскользнуться и упасть, получив урон, каждый раз, когда вы будете атаковать.",
BAT_HEATEXP,"It's hot here, so you will have less recharge rate","Тут спека, тому час на перезарядку подовжено.","Тут жарко, по этому время на перезарядку дольше.",
BAT_TOXICEXP,"You are in toxic environment, so your attacks will deal less damage","Тут токсичне становище, тому ви будете гірше атакувати.","Здесь токсичная обстановка, по этому вы будете слабее атаковать.",
BAT_RAINEXP,"It's raining right now, fire-based attacks are weaker and frost-based attacks are stronger. Combined with blizzard, you will have chance of slipping on ice and get damage every time you attack","Зараз йде дощ, тому вогнені атаки слабкі, а льодяні - міцні. Якщо зараз мороз, ви будете мати шанс підслизнутися на льоду та отримати урон кожен раз, коли ви атакуєте","Сейчас идёт дождь, по этому огненные атаки слабее, а морозные - сильнее. Если сейчас мороз, у вас будет шанс подскользнуться на льду и получить урон каждую свою атаку.",
BAT_MERCILESSEXP,It is guaranteed that the enemy will not spare you or give up.,Ворог в жодному разі не стане сдаватися. Він також не відпустить вас.,"Враг не собирается сдаваться, как и щадить вас.",
BAT_TIER1EXP,"The enemy is very powerful, mind your every move","Цей ворог дуже потужний, будьте уважними","Этот враг очень сильный, имейте ввиду",
BAT_TIER2EXP,It's a boss fight,Це є битва з босом,Это - битва с боссом.,
BAT_CHECK,Check,Оглянути,Оценить,
BAT_BEG,Beg,Прохати,Просить,
BAT_SKILL,Skill,Здібность,Способность,
INV_USE,Use,Використати,Использовать,
INV_PREVP,Prev.,Назад,Назад,
INV_NEXTP,Next,След.,След.,
INV_RES_HP,Restore HP,+ОЗ,+ОЗ,
INV_RES_MP,Restore MP,+ОН,+ОВ,
INV_RES_PP,Restore PP,+ПП,+ПП,
INV_SPEC_EV,Effect:,Ефект:,Эффект:,
INV_CLS,Close,Закрити,Закрыть,
BAT_BEG_SUCCESS1,"Understanding that you won't manage to defeat your foes, you suggest that you all lay down those weapons and spread around, forgetting about the situation and keeping everyone's interests to themselves. To your surprise, enemy party doesn't mind it and sheathe their weapons. You are free to go.","Зрозумівши, що у вас нема шансів на перемогу, ви пропонуєте ворожій спільноті забути про ситуацію та розійтись, тримаючи свої інтереси при собі. На щастя вам, ворог не проти цієї резолюції та ховають свою зброю. Ви вільні.","Поняв, что ситуация весьма проблематичная для вас, вы предлагаете врагам забыть про ситуацию и считаете, что стоит оставить интересы всех присутствующих при себе. Враги, что интересно, не против такой развязки и прячут орудия. Вы можете идти.",
BAT_BEG_SUCCESS2,"Grounded by the situation, you suggest that everyone stop firing. Enemy seem to be just as grounded as you, or, at least, want to seem like that, so they agree with you and let you go. (Or is it you who let them go?)","Ситуація застала вас зненацька, тому ви пропонуєте усім припинити стрільбу. Ворог, начебто, теж оточений безвихідністю, принаймі, він хоче, щоб вам це здавалося так. Вони згодні з вашою пропозицією й дозволяють вам йти. (Або мабуть це ви дозволяєте їм піти?)","Ситуация застала вас врасплох, по этому вы предлагаете всем прекратить огонь. Враг не против, ибо ситуация и его не обошла стороной, по крайней мере, он хочет, чтобы вам показалось так. Они согласны с вашим предложением и позволяют вам идти. (Или это вы позволяете им идти?)",
BAT_BEG_SUCCESS3,"You aren't capable of maintaining positions anymore, so you suggest a more diplomatic shared ""victory"". Enemy appears to be just as diplomatic as you, so he agrees to the shared ""victory"".","Ви знеможені и не можете відстоювати свою позицію ані хвилиною довше, тому ви пропонуєте більш дипломатичне вирішення конфлікту. На щастя вам, ворог опинився саме таким дипломатичним, як і ви, тому він згоден із вашою пропозицією.","Вы устали и не можете поддерживать свою позицию ни минутой дольше. Вы предлагаете более дипломатичное решение конфликта. К счастью, враг оказался не менее дипломатичным, чем вы, по этому вопрос решен. Дипломатично, опять таки.",
BAT_BEG_SUCCESS4,"You've noticed that the enemy may agree to a white flag. Apparently, he *does agree* to a white flag, or how do you call a handkerchief hung on your guitar's neck you suggested as a white flag.","Ви помітили, що враг не проти білого паперу з вашого боку. Тим паче, він все ж таки згоден на білий папер з вашого боку, або як назвати білий платок, зов'язаний на гитарному грифові, який ви пропонуєте як ""білий папер""","По всей видимости, враг не против белого флага с вашей стороны в качестве примерения. Более того, он всё-таки согласен на белый флаг с вашей стороны... если белый платок подвязанный на гитарный гриф можно назвать ""белым флагом""",
BAT_BEG_SUCCESS5,"You cast pacify. Strangely enough, despite you don't have enough TP, enemy's name isn't blue and you're not playing Deltarune, enemy spares you. You win 30 D$?","Ви чаклуєте заспокоєння. Що дивно, незважаючи на те, що в вас недостатньо TP, ім'я ворога не блакитне та ви граєте не в Deltarune, враг дозволяє вам йти. Ви отримали 30 D$?","Вы кастуете успокоение. И хоть у вас недостаточно TP, название врага не синее и вы не играете в Deltarune, враг вас щадит. Вы получаете 30 D$?",
BAT_BEG_SUCCESS6,,,,
BAT_BEG_SUCCESS7,,,,
BAT_BEG_SUCCESS8,,,,
BAT_BEG_SUCCESS9,,,,
BAT_ACCEPT_MERCY,Flee,Втікти,Сбежать,
